chinese,english,source,refs_list
一波未平，一波又起,"as soon as one problem is solved, another arises",JSON,"['as soon as one problem is solved, another arises']"
一败涂地,being utterly defeated or experiencing a complete failure,JSON,['being utterly defeated or experiencing a complete failure']
一般见识,limited knowledge or experience,JSON,['limited knowledge or experience']
一板三眼,meticulous and strict in one's work or behavior,JSON,"[""meticulous and strict in one's work or behavior""]"
一本正经,to be serious and earnest,JSON,['to be serious and earnest']
一本万利,making a huge profit with minimal effort or investment,JSON,['making a huge profit with minimal effort or investment']
一笔抹杀,to completely eliminate or belittle something with a single stroke,JSON,['to completely eliminate or belittle something with a single stroke']
一笔勾销,to completely cancel or invalidate something,JSON,['to completely cancel or invalidate something']
一鼻孔出气,to have the same viewpoint or opinion,JSON,['to have the same viewpoint or opinion']
一臂之力,a helping hand,JSON,['a helping hand']
一步登天,to achieve rapid success or rise to a high position in one step,JSON,['to achieve rapid success or rise to a high position in one step']
一不做，二不休,"not doing something halfway, but instead taking decisive action; not stopping until the goal is achieved",JSON,"['not doing something halfway, but instead taking decisive action', 'not stopping until the goal is achieved']"
一拍即合,"to reach an agreement or make a decision quickly and easily, without much discussion or hesitation",JSON,"['to reach an agreement or make a decision quickly and easily, without much discussion or hesitation']"
一抔黄土,"a small amount of effort or contribution, often referring to a person's minimal or insignificant contribution",JSON,"[""a small amount of effort or contribution, often referring to a person's minimal or insignificant contribution""]"
一盘散沙,a group of people with no unity or cohesion,JSON,['a group of people with no unity or cohesion']
一贫如洗,"extremely poor, having nothing at all",JSON,"['extremely poor, having nothing at all']"
一曝十寒,go from one extreme to another,JSON,['go from one extreme to another']
一模一样,identical; exactly the same,JSON,"['identical', 'exactly the same']"
一马当先,taking the lead or being in the forefront,JSON,['taking the lead or being in the forefront']
一马平川,"a flat and smooth road ahead, without any obstacles or difficulties",JSON,"['a flat and smooth road ahead, without any obstacles or difficulties']"
一脉相承,pass down from generation to generation,JSON,['pass down from generation to generation']
一毛不拔,stingy or unwilling to spend even a single cent,JSON,['stingy or unwilling to spend even a single cent']
一面之词,one-sided account; only one person's testimony,JSON,"['one-sided account', ""only one person's testimony""]"
一面之交,an acquaintance that is only superficial or limited to a single encounter,JSON,['an acquaintance that is only superficial or limited to a single encounter']
一鸣惊人,making a remarkable achievement with one brilliant performance,JSON,['making a remarkable achievement with one brilliant performance']
一命呜呼,"to die, to lose one's life",JSON,"[""to die, to lose one's life""]"
一目了然,clear at a glance,JSON,['clear at a glance']
一目十行,"to read at a fast pace, able to skim through and comprehend large amounts of text quickly",JSON,"['to read at a fast pace, able to skim through and comprehend large amounts of text quickly']"
一发千钧,a very powerful and influential person,JSON,['a very powerful and influential person']
一帆风顺,"smooth sailing, everything goes well",JSON,"['smooth sailing, everything goes well']"
一反常态,to act contrary to one's usual behavior,JSON,"[""to act contrary to one's usual behavior""]"
一得之功,benefiting from a single action or effort,JSON,['benefiting from a single action or effort']
一得之愚,"limited understanding or knowledge in a specific area, only having a superficial grasp of something",JSON,"['limited understanding or knowledge in a specific area, only having a superficial grasp of something']"
一刀两断,make a clean break; decisively end a relationship or situation,JSON,"['make a clean break', 'decisively end a relationship or situation']"
一塌刮子,a complete mess,JSON,['a complete mess']
一塌糊涂,"a complete mess or chaos, in a state of total disorder",JSON,"['a complete mess or chaos, in a state of total disorder']"
一潭死水,a stagnant situation with no progress or development,JSON,['a stagnant situation with no progress or development']
一团和气,"harmonious and friendly atmosphere, everyone getting along with each other",JSON,"['harmonious and friendly atmosphere, everyone getting along with each other']"
一念之差,a small difference in thought or decision that has significant consequences,JSON,['a small difference in thought or decision that has significant consequences']
一诺千金,a promise that is incredibly valuable and can be trusted; a promise that is worth a thousand pieces of gold,JSON,"['a promise that is incredibly valuable and can be trusted', 'a promise that is worth a thousand pieces of gold']"
一劳永逸,to solve a problem or complete a task once and for all,JSON,['to solve a problem or complete a task once and for all']
一览无余,"to see everything in a glance, leaving nothing hidden or unknown",JSON,"['to see everything in a glance, leaving nothing hidden or unknown']"
一了百了,"kill two birds with one stone, solve a problem completely",JSON,"['kill two birds with one stone, solve a problem completely']"
一鳞半爪,a tiny bit; a small part,JSON,"['a tiny bit', 'a small part']"
一路平安,wishing someone a safe journey,JSON,['wishing someone a safe journey']
一落千丈,"a sudden and dramatic decline in status, ability, or performance",JSON,"['a sudden and dramatic decline in status, ability, or performance']"
一改故辙,to break with tradition and try a different approach,JSON,['to break with tradition and try a different approach']
一概而论,to generalize and judge a situation or a group of things based on a single characteristic or aspect,JSON,['to generalize and judge a situation or a group of things based on a single characteristic or aspect']
一干二净,completely and thoroughly,JSON,['completely and thoroughly']
一鼓作气,make a determined effort in one go,JSON,['make a determined effort in one go']
一国三公,"""separation of powers"" or ""three branches of government"" in a country.",JSON,"['separation of powers', 'three branches of government']"
一棍子打死,To generalize and make a hasty judgment based on one incident or characteristic,JSON,['to generalize and make a hasty judgment based on one incident or characteristic']
一刻千金,extremely precious or valuable time,JSON,['extremely precious or valuable time']
一孔之见,a narrow-minded viewpoint; a biased perspective,JSON,"['a narrow-minded viewpoint', 'a biased perspective']"
一哄而散,disperse or scatter in a sudden and disorderly manner,JSON,['disperse or scatter in a sudden and disorderly manner']
