chinese,english,source,refs_list
1. 注意到截至2006年4月30日联合国塞拉利昂观察团和联合国塞拉利昂特派团摊款的缴纳情况，包括欠缴摊款42.6百万美元，约占摊款总额的2％，关切地注意到只有83个会员国已足额缴纳摊款，并促请所有其他会员国，尤其是拖欠国，确保缴纳所欠摊款；,"Takes note of the status of contributions to the United Nations Observer Mission in Sierra Leone and the United Nations Mission in Sierra Leone as at 30 April 2006, including the contributions outstanding in the amount of 42.6 million United States dollars, representing some 2 per cent of the total assessed contributions, notes with concern that only eighty-three Member States have paid their assessed contributions in full, and urges all other Member States, in particular those in arrears, to ensure payment of their outstanding assessed contributions;",JSON,"['Takes note of the status of contributions to the United Nations Observer Mission in Sierra Leone and the United Nations Mission in Sierra Leone as at 30\xa0April 2006, including the contributions outstanding in the amount of 42.6 million United States dollars, representing some 2 per cent of the total assessed contributions, notes with concern that only eighty-three Member States have paid their assessed contributions in full, and urges all other Member States, in particular those in arrears, to ensure payment of their outstanding assessed contributions;']"
196. 预处理：对固体需要进行减小体积的预处理。,Pre-treatment: Solids will require size reduction.,JSON,['Pre-treatment: Solids will require size reduction.']
衣服 围太，老板。,"Clothes are too confining, boss.",JSON,"['Clothes are too confining, boss.']"
玻利维亚人民完全同意我们需要为确保公平的进展打下基础。,The Bolivian people fully agree that we need to lay a foundation for ensuring progress with equity.,JSON,['The Bolivian people fully agree that we need to lay a foundation for ensuring progress with equity.']
他有关对各区域委员会的审计的讲话是根据一项假设，即各委员会会进行其本身的审计审查，然后再由其会员国加以审查。,"His remarks about the audit of the regional commissions had been based on the assumption that the commissions would conduct their own reviews of the audit, which would then be examined by their Member States.",JSON,"['His remarks about the audit of the regional commissions had been based on the assumption that the commissions would conduct their own reviews of the audit, which would then be examined by their Member States.']"
但是，按照《指南》，被许可权人（作为所转让应收款的债务人）的权利不受影响，除非《指南》所建议的担保交易法另有规定（见建议117(a)项）。,"However, under the Guide, the rights of a licensee (as a debtor of the assigned receivables) are not affected except as otherwise provided in the secured transactions law recommended in the Guide (see recommendation 117, subparagraph (a)).",JSON,"['However, under the Guide, the rights of a licensee (as a debtor of the assigned receivables) are not affected except as otherwise provided in the secured transactions law recommended in the Guide (see recommendation 117, subparagraph (a)).']"
已用各种方法迎接区域渔业管理组织的改革或现代化挑战：美洲金枪鱼委员会为制定称为《安提瓜公约》的一项新的组织协定（重要规定在美洲金枪鱼委员会的汇总表中用斜体字列明）进行谈判，该公约生效后将取代现有的《美洲金枪鱼委员会公约》。,The challenge of RFMO reform or modernization has been taken up in various ways: IATTC negotiated a new constitutive agreement known as the Antigua Convention (key provisions are shown in italics in the IATTC matrix in the appendix) that will replace the existing IATTC Convention when it comes into force.,JSON,['The challenge of RFMO reform or modernization has been taken up in various ways: IATTC negotiated a new constitutive agreement known as the Antigua Convention (key provisions are shown in italics in the IATTC matrix in the appendix) that will replace the existing IATTC Convention when it comes into force.']
我故意现在打来的,l called now on purpose.,JSON,['l called now on purpose.']
活泼又直接 我最喜欢了,"Ah. Feisty, yeah. I like feisty.",JSON,"['Ah. Feisty, yeah. I like feisty.']"
虽然“罗姆人同等融合到保加利亚社会的框架方案”被认为是一项正面的发展，但遗憾的是它没有得到执行(种族间促进人权基金会)。,"While the Framework Programme for Equal Integration of Roma in Bulgarian Society was viewed as a positive development, its lack of implementation was regretted (Inter-Ethnic Initiative for Human Rights Foundation).",JSON,"['While the Framework Programme for Equal Integration of Roma in Bulgarian Society was viewed as a positive development, its lack of implementation was regretted (Inter-Ethnic Initiative for Human Rights Foundation).']"
